縣市,鄉鎮,地區,設有戶籍宅數(宅).x,設有戶籍宅數之平均人口數(人),1人一宅宅數(宅),1人一宅宅數比例(%),2人一宅宅數(宅),2人一宅宅數比例(%),3人一宅宅數(宅),3人一宅宅數比例(%),4人一宅宅數(宅),4人一宅宅數比例(%),5人一宅宅數(宅),5人一宅宅數比例(%),6人以上一宅宅數(宅),6人以上一宅宅數比例(%),設有戶籍宅數(宅).y,設有戶籍宅數之平均戶數(戶),1戶一宅(宅),1戶一宅比例(%),2戶一宅(宅),2戶一宅比例(%),3戶一宅(宅),3戶一宅比例(%),4戶一宅(宅),4戶一宅比例(%),5戶一宅(宅),5戶一宅比例(%),6戶以上一宅(宅),6戶以上一宅比例(%),總戶長數(人).x,戶長平均年齡(歲),25(含)歲以下戶長數(人),25(含)歲以下戶長數比例(%),25-35(含)歲戶長數(人),25-35(含)歲戶長數比例(%),35-45(含)歲戶長數(人),35-45(含)歲戶長數比例(%),45-55(含)歲戶長數(人),45-55(含)歲戶長數比例(%),55-65(含)歲戶長數(人),55-65(含)歲戶長數比例(%),65歲以上戶長數(人),65歲以上戶長數比例(%),總戶長數(人).y,每戶平均老年人口數(人),無老年人口戶數(戶),無老年人口戶數比例(%),一位老年人口戶數(戶),一位老年人口戶數比例(%),二位老年人口戶數(戶),二位老年人口戶數比例(%),三位以上老年人口戶數(戶),三位以上老年人口戶數比例(%),僅老年人口居住宅數(宅),一名老年人口宅數(宅),一名老年人口宅數比例(%),二名老年人口宅數(宅),二名老年人口宅數比例(%),三名以上老年人口宅數(宅),三名以上老年人口宅數比例(%),總戶長數(人),有偶(人),有偶比例(%),離婚(人),離婚比例(%),喪偶(人),喪偶比例(%),婚姻關係消滅(人),婚姻關係消滅比例(%),未婚(人),未婚比例(%),其他(人),其他比例(%)
臺北市,中山區,力行里,2253,2.74,825,36.62%,417,18.51%,371,16.47%,279,12.38%,155,6.88%,206,9.14%,2253,1.19,1896,84.15%,298,13.23%,52,2.31%,4,0.18%,1,0.04%,2,0.09%,2680,55.86,65,2.43%,245,9.14%,394,14.70%,580,21.64%,691,25.78%,705,26.31%,2679,0.39,1837,68.57%,645,24.08%,187,6.98%,10,0.37%,254,209,82.28%,43,16.93%,2,0.79%,2680,1699,63.40%,229,8.54%,237,8.84%,0,0.00%,515,19.22%,0,0.00%
臺北市,中山區,下埤里,2429,3.21,634,26.10%,444,18.28%,415,17.09%,386,15.89%,226,9.30%,324,13.34%,2429,1.22,1968,81.02%,396,16.30%,49,2.02%,14,0.58%,2,0.08%,0,0.00%,2973,54.82,54,1.82%,255,8.58%,521,17.52%,638,21.46%,841,28.29%,664,22.33%,2973,0.35,2134,71.78%,656,22.07%,171,5.75%,12,0.40%,175,135,77.14%,39,22.29%,1,0.57%,2973,1850,62.23%,324,10.90%,238,8.01%,0,0.00%,561,18.87%,0,0.00%
臺北市,中山區,大佳里,214,5.26,44,20.56%,28,13.08%,25,11.68%,26,12.15%,23,10.75%,68,31.78%,214,1.98,120,56.07%,50,23.36%,25,11.68%,7,3.27%,8,3.74%,4,1.87%,424,57.13,6,1.42%,27,6.37%,61,14.39%,95,22.41%,120,28.30%,115,27.12%,424,0.38,291,68.63%,106,25.00%,26,6.13%,1,0.24%,14,14,100.00%,0,0.00%,0,0.00%,424,247,58.25%,51,12.03%,57,13.44%,0,0.00%,69,16.27%,0,0.00%
臺北市,中山區,大直里,2725,3.72,550,20.18%,465,17.06%,471,17.28%,441,16.18%,272,9.98%,526,19.30%,2725,1.35,2003,73.50%,546,20.04%,130,4.77%,40,1.47%,6,0.22%,0,0.00%,3675,55.16,70,1.90%,262,7.13%,717,19.51%,818,22.26%,915,24.90%,893,24.30%,3675,0.38,2593,70.56%,804,21.88%,258,7.02%,20,0.54%,203,152,74.88%,47,23.15%,4,1.97%,3675,2554,69.50%,295,8.03%,334,9.09%,0,0.00%,492,13.39%,0,0.00%
臺北市,中山區,中山里,2997,2.16,1577,52.62%,573,19.12%,320,10.68%,238,7.94%,130,4.34%,159,5.31%,2997,1.18,2566,85.62%,351,11.71%,62,2.07%,10,0.33%,6,0.20%,2,0.07%,3536,50.91,93,2.63%,538,15.21%,713,20.16%,808,22.85%,813,22.99%,571,16.15%,3536,0.23,2825,79.89%,606,17.14%,97,2.74%,8,0.23%,253,209,82.61%,39,15.42%,5,1.98%,3536,1537,43.47%,653,18.47%,224,6.33%,0,0.00%,1122,31.73%,0,0.00%
臺北市,中山區,中央里,1222,3.15,379,31.01%,215,17.59%,202,16.53%,160,13.09%,98,8.02%,168,13.75%,1222,1.27,962,78.72%,200,16.37%,47,3.85%,12,0.98%,1,0.08%,0,0.00%,1556,54.99,38,2.44%,134,8.61%,296,19.02%,341,21.92%,362,23.26%,385,24.74%,1555,0.37,1085,69.77%,379,24.37%,79,5.08%,12,0.77%,117,93,79.49%,23,19.66%,1,0.85%,1556,922,59.25%,168,10.80%,147,9.45%,0,0.00%,319,20.50%,0,0.00%
臺北市,中山區,中吉里,1827,3.22,518,28.35%,344,18.83%,293,16.04%,263,14.40%,151,8.26%,258,14.12%,1827,1.28,1440,78.82%,298,16.31%,69,3.78%,12,0.66%,6,0.33%,2,0.11%,2335,55.44,36,1.54%,218,9.34%,388,16.62%,556,23.81%,524,22.44%,613,26.25%,2333,0.38,1612,69.10%,559,23.96%,151,6.47%,11,0.47%,189,144,76.19%,43,22.75%,2,1.06%,2335,1449,62.06%,232,9.94%,195,8.35%,0,0.00%,459,19.66%,0,0.00%
臺北市,中山區,中庄里,1823,2.92,663,36.37%,328,17.99%,262,14.37%,217,11.90%,132,7.24%,221,12.12%,1823,1.26,1444,79.21%,303,16.62%,58,3.18%,16,0.88%,0,0.00%,2,0.11%,2305,55.49,48,2.08%,216,9.37%,381,16.53%,498,21.61%,552,23.95%,610,26.46%,2306,0.38,1594,69.12%,568,24.63%,135,5.85%,9,0.39%,200,167,83.50%,30,15.00%,3,1.50%,2305,1250,54.23%,334,14.49%,227,9.85%,0,0.00%,494,21.43%,0,0.00%
臺北市,中山區,中原里,1792,2.92,578,32.25%,367,20.48%,273,15.23%,245,13.67%,138,7.70%,191,10.66%,1792,1.23,1456,81.25%,274,15.29%,49,2.73%,10,0.56%,1,0.06%,2,0.11%,2208,55.29,31,1.40%,203,9.19%,376,17.03%,473,21.42%,581,26.31%,544,24.64%,2207,0.37,1563,70.82%,513,23.24%,120,5.44%,11,0.50%,168,133,79.17%,32,19.05%,3,1.79%,2208,1301,58.92%,262,11.87%,198,8.97%,0,0.00%,447,20.24%,0,0.00%
臺北市,中山區,北安里,820,3.51,177,21.59%,148,18.05%,139,16.95%,123,15.00%,86,10.49%,147,17.93%,820,1.28,638,77.80%,141,17.20%,35,4.27%,5,0.61%,1,0.12%,0,0.00%,1050,54.88,21,2.00%,72,6.86%,193,18.38%,254,24.19%,288,27.43%,222,21.14%,1049,0.36,761,72.55%,208,19.83%,75,7.15%,5,0.48%,41,32,78.05%,9,21.95%,0,0.00%,1050,704,67.05%,112,10.67%,90,8.57%,0,0.00%,144,13.71%,0,0.00%
臺北市,中山區,正守里,1121,2.95,350,31.22%,223,19.89%,189,16.86%,155,13.83%,80,7.14%,124,11.06%,1121,1.26,896,79.93%,181,16.15%,32,2.85%,9,0.80%,1,0.09%,2,0.18%,1407,55.09,23,1.63%,147,10.45%,254,18.05%,290,20.61%,337,23.95%,356,25.30%,1408,0.37,986,70.03%,327,23.22%,89,6.32%,6,0.43%,108,88,81.48%,16,14.81%,4,3.70%,1407,837,59.49%,145,10.31%,141,10.02%,0,0.00%,284,20.18%,0,0.00%
臺北市,中山區,正得里,1684,2.26,797,47.33%,361,21.44%,215,12.77%,146,8.67%,79,4.69%,86,5.11%,1684,1.18,1433,85.10%,207,12.29%,39,2.32%,3,0.18%,2,0.12%,0,0.00%,1985,53.05,44,2.22%,248,12.49%,384,19.35%,461,23.22%,433,21.81%,415,20.91%,1986,0.3,1487,74.87%,415,20.90%,77,3.88%,7,0.35%,180,154,85.56%,22,12.22%,4,2.22%,1985,967,48.72%,310,15.62%,118,5.94%,0,0.00%,590,29.72%,0,0.00%
臺北市,中山區,正義里,2252,2.38,1043,46.31%,439,19.49%,299,13.28%,193,8.57%,117,5.20%,161,7.15%,2252,1.19,1899,84.33%,293,13.01%,43,1.91%,15,0.67%,2,0.09%,0,0.00%,2684,52.05,79,2.94%,346,12.89%,523,19.49%,620,23.10%,618,23.03%,498,18.55%,2683,0.26,2081,77.56%,510,19.01%,85,3.17%,7,0.26%,198,177,89.39%,21,10.61%,0,0.00%,2684,1173,43.70%,543,20.23%,187,6.97%,1,0.04%,780,29.06%,0,0.00%
臺北市,中山區,民安里,1725,2.77,663,38.43%,320,18.55%,249,14.43%,199,11.54%,117,6.78%,177,10.26%,1725,1.24,1398,81.04%,259,15.01%,54,3.13%,10,0.58%,3,0.17%,1,0.06%,2140,56.7,38,1.78%,209,9.77%,310,14.49%,421,19.67%,546,25.51%,616,28.79%,2139,0.41,1434,67.04%,552,25.81%,144,6.73%,9,0.42%,227,194,85.46%,31,13.66%,2,0.88%,2140,1212,56.64%,216,10.09%,218,10.19%,0,0.00%,494,23.08%,0,0.00%
臺北市,中山區,永安里,3191,3.15,750,23.50%,638,19.99%,636,19.93%,566,17.74%,234,7.33%,367,11.50%,3191,1.21,2629,82.39%,474,14.85%,72,2.26%,14,0.44%,2,0.06%,0,0.00%,3860,53.04,87,2.25%,296,7.67%,818,21.19%,1049,27.18%,912,23.63%,698,18.08%,3859,0.3,2952,76.50%,688,17.83%,207,5.36%,12,0.31%,212,155,73.11%,51,24.06%,6,2.83%,3860,2682,69.48%,336,8.70%,245,6.35%,0,0.00%,597,15.47%,0,0.00%
臺北市,中山區,成功里,2574,2.76,902,35.04%,460,17.87%,465,18.07%,357,13.87%,175,6.80%,215,8.35%,2574,1.16,2217,86.13%,304,11.81%,44,1.71%,7,0.27%,2,0.08%,0,0.00%,2994,50.26,69,2.30%,372,12.42%,749,25.02%,801,26.75%,576,19.24%,427,14.26%,2995,0.23,2442,81.54%,433,14.46%,112,3.74%,8,0.27%,143,113,79.02%,27,18.88%,3,2.10%,2994,1989,66.43%,248,8.28%,156,5.21%,0,0.00%,601,20.07%,0,0.00%
臺北市,中山區,朱崙里,1085,2.77,403,37.14%,199,18.34%,172,15.85%,139,12.81%,74,6.82%,98,9.03%,1085,1.24,886,81.66%,156,14.38%,30,2.76%,6,0.55%,6,0.55%,1,0.09%,1350,54.29,28,2.07%,117,8.67%,273,20.22%,294,21.78%,334,24.74%,304,22.52%,1348,0.34,977,72.48%,293,21.74%,71,5.27%,7,0.52%,94,72,76.60%,20,21.28%,2,2.13%,1350,784,58.07%,147,10.89%,111,8.22%,1,0.07%,307,22.74%,0,0.00%
臺北市,中山區,朱園里,1801,2.6,732,40.64%,356,19.77%,269,14.94%,172,9.55%,100,5.55%,172,9.55%,1801,1.21,1521,84.45%,204,11.33%,57,3.16%,15,0.83%,3,0.17%,1,0.06%,2182,53.66,45,2.06%,255,11.69%,394,18.06%,519,23.79%,502,23.01%,467,21.40%,2182,0.32,1613,73.92%,460,21.08%,100,4.58%,9,0.41%,168,140,83.33%,26,15.48%,2,1.19%,2182,1240,56.83%,235,10.77%,177,8.11%,0,0.00%,530,24.29%,0,0.00%
臺北市,中山區,朱馥里,1994,3.14,640,32.10%,345,17.30%,282,14.14%,280,14.04%,167,8.38%,280,14.04%,1994,1.27,1595,79.99%,311,15.60%,61,3.06%,19,0.95%,5,0.25%,3,0.15%,2524,54.99,35,1.39%,211,8.36%,499,19.77%,548,21.71%,619,24.52%,612,24.25%,2523,0.35,1813,71.86%,549,21.76%,155,6.14%,6,0.24%,198,154,77.78%,42,21.21%,2,1.01%,2524,1534,60.78%,268,10.62%,241,9.55%,0,0.00%,481,19.06%,0,0.00%
臺北市,中山區,江山里,2512,3.12,717,28.54%,445,17.71%,447,17.79%,386,15.37%,213,8.48%,304,12.10%,2512,1.23,2022,80.49%,404,16.08%,74,2.95%,10,0.40%,2,0.08%,0,0.00%,3103,56.47,40,1.29%,226,7.28%,494,15.92%,699,22.53%,806,25.97%,838,27.01%,3102,0.41,2085,67.21%,779,25.11%,228,7.35%,10,0.32%,251,191,76.10%,57,22.71%,3,1.20%,3103,1964,63.29%,317,10.22%,303,9.76%,0,0.00%,519,16.73%,0,0.00%
臺北市,中山區,江寧里,2305,3.08,653,28.33%,429,18.61%,377,16.36%,375,16.27%,200,8.68%,271,11.76%,2305,1.22,1878,81.48%,360,15.62%,58,2.52%,6,0.26%,1,0.04%,2,0.09%,2813,54.9,51,1.81%,262,9.31%,490,17.42%,629,22.36%,717,25.49%,664,23.60%,2811,0.37,1996,71.01%,595,21.17%,208,7.40%,12,0.43%,194,139,71.65%,50,25.77%,5,2.58%,2813,1774,63.06%,292,10.38%,219,7.79%,0,0.00%,528,18.77%,0,0.00%
臺北市,中山區,行仁里,2381,3.58,508,21.34%,365,15.33%,429,18.02%,416,17.47%,244,10.25%,419,17.60%,2381,1.27,1851,77.74%,429,18.02%,83,3.49%,13,0.55%,5,0.21%,0,0.00%,3035,55.11,52,1.71%,251,8.27%,518,17.07%,676,22.27%,825,27.18%,713,23.49%,3034,0.36,2139,70.50%,694,22.87%,196,6.46%,5,0.16%,152,121,79.61%,31,20.39%,0,0.00%,3035,1863,61.38%,362,11.93%,302,9.95%,0,0.00%,508,16.74%,0,0.00%
臺北市,中山區,行孝里,1246,3.41,309,24.80%,221,17.74%,181,14.53%,214,17.17%,122,9.79%,199,15.97%,1246,1.27,968,77.69%,230,18.46%,39,3.13%,9,0.72%,0,0.00%,0,0.00%,1581,53.67,28,1.77%,156,9.87%,297,18.79%,355,22.45%,451,28.53%,294,18.60%,1581,0.3,1182,74.76%,325,20.56%,68,4.30%,6,0.38%,67,53,79.10%,14,20.90%,0,0.00%,1581,958,60.59%,170,10.75%,146,9.23%,0,0.00%,307,19.42%,0,0.00%
