"統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","離婚人數","離婚比例","未婚比例","每戶平均用電度數","每人平均用電度數"
10305,"臺北市","北投區溫泉里",1371209,6171,0.0909,0.3108,0.5983,2192,2206838,661,847,2778,7020,0.5231,0.4769,0.1906,0.2966,0.386,0.1268,11,5,6,8,3,1671,"60.15%",324,"11.66%","18.65%",493.6,195.33
10305,"臺北市","北投區文化里",701831,3797,0.1248,0.3432,0.532,1372,1553759,868,1097,1672,4604,0.5189,0.4809,0.2448,0.278,0.3614,0.1156,8,4,4,3,3,1131,"67.08%",150,"8.90%","12.34%",419.76,152.44
10305,"臺北市","北投區文林里",1216930,3868,0.1024,0.3239,0.5737,1474,1660724,740,980,1632,4455,0.5167,0.4831,0.1964,0.3021,0.3668,0.1347,9,2,7,7,0,1100,"65.95%",163,"9.77%","15.11%",745.67,273.16
10305,"臺北市","北投區秀山里",706626,3095,0.0666,0.2565,0.6769,1018,838646,592,656,1240,3498,0.5083,0.492,0.1798,0.3133,0.3556,0.1515,3,2,1,7,3,718,"57.72%",173,"13.91%","14.07%",569.86,202.01
10305,"臺北市","北投區一德里",1640391,6476,0.0761,0.2616,0.6623,2128,2076390,629,777,2661,7441,0.5024,0.4978,0.213,0.3255,0.3588,0.1027,11,3,8,18,5,1834,"65.99%",268,"9.64%","15.11%",616.46,220.45
10305,"臺北市","北投區永和里",2933298,8194,0.1216,0.3542,0.5243,3062,4596960,813,1201,3576,9448,0.5185,0.4815,0.218,0.273,0.395,0.114,15,7,8,11,3,2408,"65.58%",396,"10.78%","16.15%",820.27,310.47
10305,"臺北市","北投區永明里",1207065,4312,0.119,0.334,0.5471,1576,1855259,782,1033,1878,5328,0.5327,0.4675,0.263,0.2928,0.3423,0.1021,5,3,2,9,0,1306,"69.80%",164,"8.77%","11.97%",642.74,226.55
10305,"臺北市","北投區永欣里",2040436,6924,0.1756,0.4152,0.4092,2853,5845914,1059,1860,3290,8124,0.5288,0.4713,0.2213,0.2778,0.3784,0.1226,17,9,8,17,5,2267,"67.71%",255,"7.62%","17.56%",620.19,251.16
10305,"臺北市","北投區裕民里",2035684,6966,0.1123,0.3455,0.5422,2622,3428292,737,1005,2989,8010,0.5228,0.477,0.2072,0.3076,0.368,0.1171,13,7,6,10,3,2056,"66.86%",284,"9.24%","15.61%",681.06,254.14
10305,"臺北市","北投區長安里",1248140,5605,0.0787,0.279,0.6423,1870,1746423,631,773,2534,6347,0.5332,0.467,0.2067,0.2976,0.3756,0.1201,6,4,2,8,2,1470,"55.62%",346,"13.09%","21.11%",492.56,196.65
10305,"臺北市","北投區振華里",1808323,7009,0.114,0.3266,0.5594,2679,3017743,713,1016,2908,8152,0.5289,0.4711,0.2062,0.2934,0.3673,0.133,16,6,10,16,0,1915,"66.01%",247,"8.51%","14.62%",621.84,221.83
10305,"臺北市","北投區智仁里",858452,5631,0.0797,0.2808,0.6395,1882,1638950,628,742,2288,6580,0.5213,0.4787,0.2234,0.3164,0.3459,0.1143,14,8,6,9,0,1440,"62.02%",273,"11.76%","15.29%",375.2,130.46
10305,"臺北市","北投區中和里",1317441,4599,0.0968,0.3125,0.5908,1691,1725134,671,823,1954,5269,0.5166,0.4832,0.1833,0.3088,0.3644,0.1435,14,9,5,8,1,1193,"61.02%",213,"10.90%","15.35%",674.23,250.04
10305,"臺北市","北投區中心里",1396088,5906,0.0974,0.3275,0.5752,2112,2341365,668,894,2982,6550,0.5353,0.4647,0.1783,0.298,0.395,0.1289,7,2,5,11,3,1625,"53.67%",477,"15.75%","22.16%",468.17,213.14
10305,"臺北市","北投區中央里",2648904,7988,0.0888,0.2774,0.6338,2802,3006807,692,886,3431,9258,0.5185,0.4816,0.2173,0.3052,0.3712,0.1062,20,9,11,14,2,2148,"62.90%",377,"11.04%","15.75%",772.05,286.12
10305,"臺北市","北投區中庸里",605783,4028,0.0658,0.2815,0.6527,1375,1282769,622,752,1764,4607,0.5207,0.4793,0.1832,0.3234,0.3625,0.1307,5,4,1,2,0,1106,"62.52%",202,"11.42%","15.04%",343.41,131.49
10305,"臺北市","北投區洲美里",235956,1930,0.0373,0.2187,0.744,607,475581,554,620,843,2218,0.4878,0.5122,0.2033,0.3179,0.3593,0.119,5,1,4,3,1,563,"64.64%",74,"8.50%","14.93%",279.9,106.38
10305,"臺北市","北投區尊賢里",968308,4205,0.0892,0.3049,0.6059,1504,1434199,673,800,1752,5120,0.5262,0.4738,0.2453,0.3064,0.3355,0.1127,8,5,3,5,0,1189,"66.95%",186,"10.47%","12.56%",552.69,189.12
10305,"臺北市","大安區昌隆里",854148,2890,0.1606,0.4159,0.4235,1238,1805010,828,1376,1161,3154,0.5244,0.4756,0.1487,0.2286,0.3989,0.2242,2,2,0,2,0,751,"64.52%",98,"8.42%","15.21%",735.7,270.81
10305,"臺北市","大安區車層里",2106221,5697,0.162,0.4295,0.4085,2504,4611698,860,1505,2480,6708,0.54,0.4602,0.2056,0.2454,0.3745,0.1747,9,4,5,10,4,1631,"65.45%",246,"9.87%","15.37%",849.28,313.99
10305,"臺北市","大安區誠安里",1422308,3892,0.1421,0.3916,0.4663,1620,2542885,745,1035,1836,4331,0.5398,0.4599,0.1616,0.2669,0.3948,0.1764,5,3,2,7,1,1111,"60.74%",180,"9.84%","19.25%",774.68,328.4
10305,"臺北市","大安區大學里",2129052,7583,0.2259,0.387,0.387,3143,4821679,929,1401,3551,9010,0.5332,0.4668,0.224,0.2355,0.3787,0.162,10,6,4,13,2,2375,"67.11%",263,"7.43%","16.45%",599.56,236.3
10305,"臺北市","大安區德安里",1999789,5096,0.1697,0.4262,0.404,2073,3659186,838,1421,2318,6034,0.5421,0.4581,0.2173,0.232,0.3861,0.1647,11,8,3,4,2,1487,"63.44%",225,"9.60%","17.28%",862.72,331.42
10305,"臺北市","大安區敦安里",1894537,5549,0.1889,0.4069,0.4042,2401,5021081,975,1555,2459,6712,0.5404,0.4595,0.2469,0.2408,0.3626,0.1497,9,7,2,6,0,1707,"68.50%",228,"9.15%","14.65%",770.45,282.26
10305,"臺北市","大安區敦煌里",1654747,5348,0.1939,0.4271,0.379,2309,3846866,901,1444,2324,6424,0.5425,0.4577,0.2332,0.2592,0.3524,0.1554,7,5,2,8,1,1629,"69.05%",203,"8.61%","14.96%",712.03,257.59
10305,"臺北市","大安區法治里",1185228,4090,0.1535,0.3736,0.4729,1649,2241370,781,1178,1865,4626,0.5318,0.4684,0.1824,0.2782,0.385,0.1546,3,2,1,6,1,1163,"62.09%",190,"10.14%","18.47%",635.51,256.21
10305,"臺北市","大安區芳和里",1365951,5337,0.1139,0.3275,0.5586,1967,2564820,714,968,2356,6108,0.518,0.482,0.1785,0.2863,0.3774,0.1578,12,7,5,9,0,1502,"64.35%",220,"9.43%","14.18%",579.78,223.63
10305,"臺北市","大安區福住里",1339306,5368,0.218,0.4063,0.3757,2279,4441432,1036,1599,2340,6836,0.5389,0.4611,0.2901,0.2379,0.3508,0.1213,17,12,5,4,1,1682,"70.38%",196,"8.20%","13.31%",572.35,195.92
10305,"臺北市","大安區古風里",1127180,3829,0.1967,0.3951,0.4082,1544,2425358,917,1406,1736,4388,0.5264,0.4736,0.2053,0.2566,0.3879,0.15,6,6,0,9,0,1153,"64.67%",143,"8.02%","17.55%",649.3,256.88
10305,"臺北市","大安區古莊里",2011483,6285,0.2024,0.3962,0.4014,2588,3701864,857,1295,2998,7351,0.5417,0.4583,0.2187,0.259,0.3765,0.1456,13,4,9,13,2,1950,"64.63%",234,"7.76%","19.12%",670.94,273.63
10305,"臺北市","大安區光明里",1009545,3027,0.1929,0.3769,0.4301,1237,2718897,1042,1589,1425,3874,0.5188,0.4814,0.285,0.2447,0.3609,0.1097,3,1,2,4,0,1011,"72.11%",112,"7.99%","13.41%",708.45,260.59
10305,"臺北市","大安區光武里",2700386,7041,0.1501,0.3992,0.4506,2928,4256232,793,1184,3316,8164,0.5468,0.4531,0.1948,0.2488,0.3925,0.1639,14,7,7,9,4,2001,"60.60%",369,"11.18%","18.90%",814.35,330.77
10305,"臺北市","大安區光信里",2559152,6990,0.1559,0.41,0.434,2778,4457612,830,1271,3024,8313,0.5322,0.4678,0.224,0.2684,0.3674,0.1401,12,6,6,12,1,2000,"65.62%",316,"10.37%","14.93%",846.28,307.85
10305,"臺北市","大安區和安里",1819651,6058,0.1879,0.4019,0.4102,2403,9146577,1008,1560,2522,7536,0.5109,0.4891,0.2739,0.2357,0.3623,0.1281,5,3,2,14,3,1797,"71.11%",185,"7.32%","12.31%",721.51,241.46
10305,"臺北市","大安區虎嘯里",1531332,3390,0.1794,0.4159,0.4047,1408,2390107,818,1254,1654,3785,0.5517,0.4486,0.1775,0.2594,0.3995,0.1638,5,2,3,5,2,1058,"62.24%",160,"9.41%","19.18%",925.84,404.58
10305,"臺北市","大安區華聲里",1571110,3851,0.1615,0.39,0.4485,1562,2638305,832,1375,1730,4558,0.5325,0.4677,0.2152,0.2604,0.3706,0.154,3,1,2,7,1,1117,"64.08%",181,"10.38%","16.47%",908.16,344.69
10305,"臺北市","大安區建安里",1999381,4512,0.1627,0.4211,0.4162,2032,3314467,811,1315,2111,5242,0.5616,0.4384,0.1997,0.2438,0.3907,0.1656,6,4,2,12,0,1310,"60.99%",230,"10.71%","19.18%",947.13,381.42
10305,"臺北市","大安區建倫里",2479597,5527,0.1589,0.4279,0.4132,2401,5310577,885,1586,2383,6440,0.5447,0.4553,0.2138,0.2236,0.387,0.1756,8,3,5,4,2,1581,"65.33%",227,"9.38%","15.45%",1040.54,385.03
10305,"臺北市","大安區錦安里",1444787,5154,0.2241,0.4063,0.3696,2156,4050133,1022,1595,2314,6506,0.5334,0.4665,0.2785,0.2349,0.3615,0.1248,9,8,1,9,1,1687,"71.24%",161,"6.80%","14.10%",624.37,222.07
10305,"臺北市","大安區錦華里",1103666,4825,0.2083,0.4073,0.3845,1907,3081462,1030,1440,2149,6102,0.5285,0.4713,0.2829,0.2486,0.3594,0.1091,10,4,6,9,2,1620,"75.07%",123,"5.70%","12.74%",513.57,180.87
10305,"臺北市","大安區錦泰里",648265,3056,0.2124,0.4107,0.377,1342,2506026,893,1485,1413,4002,0.5202,0.4798,0.2699,0.2199,0.3718,0.1389,3,1,2,4,0,1001,"73.12%",78,"5.70%","12.78%",458.79,161.99
10305,"臺北市","大安區黎和里",1099329,4470,0.1188,0.3353,0.5459,1661,1810037,744,959,2063,4974,0.5203,0.4797,0.1713,0.3056,0.3957,0.1277,6,2,4,7,0,1224,"59.19%",234,"11.32%","18.71%",532.88,221.02
10305,"臺北市","大安區黎孝里",1875758,7075,0.1163,0.3593,0.5244,2668,2843141,725,966,2988,7816,0.5207,0.4793,0.1635,0.3122,0.3918,0.1325,11,4,7,10,0,1960,"64.56%",283,"9.32%","16.21%",627.76,239.99
10305,"臺北市","大安區黎元里",1197684,5050,0.0865,0.2794,0.6341,1717,1450737,629,719,2034,5740,0.5132,0.4868,0.1838,0.3268,0.37,0.1193,6,1,5,5,10,1261,"60.95%",231,"11.16%","16.05%",588.83,208.66
10305,"臺北市","大安區臨江里",1133449,3788,0.0913,0.2999,0.6088,1312,1240749,641,778,1752,4316,0.5253,0.475,0.1858,0.2905,0.3814,0.1427,6,3,3,12,1,1055,"59.77%",201,"11.39%","17.68%",646.95,262.62
10305,"臺北市","大安區龍安里",1750951,6947,0.1886,0.359,0.4524,2259,4557724,1033,1688,3524,8214,0.5013,0.4987,0.2411,0.2082,0.3964,0.1544,10,9,1,5,4,1946,"52.64%",615,"16.64%","24.10%",496.86,213.17
10305,"臺北市","大安區龍門里",1087307,3753,0.2241,0.4386,0.3373,1624,3319109,1042,1700,1628,4694,0.5317,0.4685,0.2625,0.2222,0.3694,0.1461,2,0,2,0,2,1176,"72.64%",109,"6.73%","11.92%",667.88,231.64
